id1,id2,clid
NVIC0002,NVIC0123,2
NVIC0012,NVIC0028,12
NVIC0012,NVIC0133,12
NVIC0012,NVIC0105,12
NVIC0028,NVIC0133,12
NVIC0028,NVIC0105,12
NVIC0133,NVIC0105,12
NVIC0016,NVIC0062,16
NVIC0024,NVIC0098,24
NVIC0026,NVIC0044,26
NVIC0054,NVIC0117,52
NVIC0059,NVIC0131,57
NVIC0064,NVIC0140,61
NVIC0074,NVIC0075,71
NVIC0074,NVIC0077,71
NVIC0074,NVIC0076,71
NVIC0075,NVIC0077,71
NVIC0075,NVIC0076,71
NVIC0077,NVIC0076,71
NVIC0097,NVIC0100,91
NVIC0125,NVIC0129,114
NVIC0137,NVIC0138,123
NVIC0137,NVIC0139,123
NVIC0138,NVIC0139,123
