NVIC_ID,Pubchem_id
NVIC0001,10027278
NVIC0002,10206
NVIC0003,102224080
NVIC0004,1037027
NVIC0005,1042364
NVIC0006,104794
NVIC0007,10552917
NVIC0008,10613168
NVIC0009,108107
NVIC0010,11317883
NVIC0011,114917
NVIC0012,117678
NVIC0013,119081414
NVIC0014,11957499
NVIC0015,121304016
NVIC0016,12450
NVIC0017,135413551
NVIC0018,135444742
NVIC0019,136774454
NVIC0020,136919850
NVIC0021,137836152
NVIC0022,139591088
NVIC0023,139591449
NVIC0024,14887603
NVIC0025,152138821
NVIC0026,155669302
NVIC0027,156583043
NVIC0028,157355
NVIC0029,1598
NVIC0030,160142
NVIC0031,16231
NVIC0032,163688476
NVIC0033,16410189
NVIC0034,17483530
NVIC0035,1775
NVIC0036,1784648
NVIC0037,1795
NVIC0038,188350
NVIC0039,190
NVIC0040,NULL
NVIC0041,22576158
NVIC0042,22581503
NVIC0043,22584902
NVIC0044,2277040
NVIC0045,235811
NVIC0046,23646770
NVIC0047,23724780
NVIC0048,2374
NVIC0049,23925
NVIC0050,24865390
NVIC0051,2519
NVIC0052,2520
NVIC0053,25672978
NVIC0054,2719
NVIC0055,2725002
NVIC0056,27924
NVIC0057,2812
NVIC0058,31703
NVIC0059,328523
NVIC0060,328761
NVIC0061,3446
NVIC0062,3468
NVIC0063,3663
NVIC0064,3724
NVIC0065,37542
NVIC0066,387447
NVIC0067,4293368
NVIC0068,439153
NVIC0069,439176
NVIC0070,439201
NVIC0071,439246
NVIC0072,441145
NVIC0073,44190928
NVIC0074,44191023
NVIC0075,44191024
NVIC0076,44191025
NVIC0077,44191117
NVIC0078,44468216
NVIC0079,445639
NVIC0080,446378
NVIC0081,447199
NVIC0082,44762840
NVIC0083,4485
NVIC0084,449459
NVIC0085,453180
NVIC0086,457388
NVIC0087,45934410
NVIC0088,462382
NVIC0089,46937262
NVIC0090,4768
NVIC0091,4891
NVIC0092,492405
NVIC0093,4946
NVIC0094,NULL
NVIC0095,5279172
NVIC0096,5280754
NVIC0097,5280795
NVIC0098,5280805
NVIC0099,5281847
NVIC0100,5283731
NVIC0101,5311502
NVIC0102,5328940
NVIC0103,5351576
NVIC0104,5359563
NVIC0105,5461026
NVIC0106,56832906
NVIC0107,5759988
NVIC0108,57697
NVIC0109,5885
NVIC0110,5901
NVIC0111,60496
NVIC0112,60663
NVIC0113,61635
NVIC0114,6223
NVIC0115,644077
NVIC0116,64735
NVIC0117,64927
NVIC0118,65094
NVIC0119,65430
NVIC0120,67726448
NVIC0121,6912226
NVIC0122,6914273
NVIC0123,73078
NVIC0124,753815
NVIC0125,755369
NVIC0126,NULL
NVIC0127,NULL
NVIC0128,8189728
NVIC0129,826236
NVIC0130,8617
NVIC0131,91619677
NVIC0132,92881596
NVIC0133,9896047
NVIC0134,NULL
NVIC0135,NULL
NVIC0136,NULL
NVIC0137,NULL
NVIC0138,NULL
NVIC0139,NULL
NVIC0140,3738
NVIC0141,NULL
NVIC0142,NULL
